image,fruit,frp,mv,lm,ld,am,ad,bm,bd,chroma,q_ref,i1_ref,i2_ref,i_index_ref,q_pred,i_pred
T0 Gul 1.2 (9-16).JPG,4,0.5224005749880211,0.4361,0.21400492943374305,0.3101721168014537,23.171290988305433,11.16332488254849,19.44599862416877,5.15353654595741,30.249885761038804,3,4,0,1,4,4
T0 Gul 1.2 (9-16).JPG,7,0.33219428850378324,0.2722,0.1340966995981147,0.26689955642204377,26.469140337986776,10.295699861170059,16.886847905951505,5.438087478885042,31.397149909359246,3,4,0,1,2,5
T0 Gul 1.3 (17-24).JPG,1,0.23515325670498086,0.1964,0.09663372549019608,0.23307200226156738,26.620672097759673,10.827296365904452,24.531568228105908,5.406068983871696,36.20024893100399,2,2,0,1,1,5
T0 Gul 1.3 (17-24).JPG,2,0.353949785670545,0.289,0.14034493173144433,0.2699597483447091,28.562629757785466,11.163849902317185,19.547404844290657,2.958303400449569,34.61105105059553,3,4,0,1,2,5
T0 Gul 1.3 (17-24).JPG,3,0.41805936642554253,0.3352,0.16418488964213138,0.28565504672854364,25.73090692124105,10.299617639561639,19.230011933174225,3.742919361396883,32.12277898843115,3,5,0,2,3,5
T0 Gul 1.3 (17-24).JPG,4,0.28065693430656935,0.2307,0.11374157023545492,0.2501367295182431,26.467706978760294,10.122148314772389,19.188990030342435,6.271131605307288,32.69184685970032,3,4,0,1,2,5
T0 Gul 1.3 (17-24).JPG,5,0.26572464674252844,0.2125,0.10408727147224527,0.241368022633227,25.364406779661017,11.303590690625565,22.191058823529414,3.0902069314032574,33.70157597195503,2,2,0,1,2,5
T0 Gul 1.3 (17-24).JPG,6,0.1979707409155262,0.1678,0.08308862745098039,0.21809086728595709,23.587008343265794,9.97705343383621,21.72586412395709,3.0568605793073322,32.06805473548303,2,1,0,0,1,4
T0 Gul 1.3 (17-24).JPG,7,0.4409246575342466,0.3605,0.17641407243441812,0.2920474454206782,23.524840410768803,10.824906863307804,18.43356449375867,5.736887931056052,29.886692963553216,3,5,0,2,3,4
T0 Gul 1.3 (17-24).JPG,8,0.3737249600589898,0.3041,0.15386136050739563,0.2830607347683112,25.220651101611313,12.310529751097365,19.86842105263158,5.313815422935809,32.10662543952356,3,4,0,1,2,5
T0 Gul 2.1 (1-8).JPG,1,0.3939720129171152,0.3294,0.16207839992452475,0.2844856282454933,28.422586520947178,10.13371080034135,21.12173649058895,4.638353600670764,35.411455447617584,3,5,0,2,3,5
T0 Gul 2.1 (1-8).JPG,2,0.33940042826552463,0.2853,0.14397927339103808,0.27607047582292427,25.495618647038206,11.010099484247528,21.50508236943568,6.030276930188573,33.354087274446826,2,4,0,1,2,5
T0 Gul 2.1 (1-8).JPG,3,0.418820971249094,0.3467,0.16830634556124752,0.2870776176132485,21.545428324199595,10.456381237202246,25.886357081049898,5.619592223204506,33.679503627589945,3,2,0,1,3,2
T0 Gul 2.1 (1-8).JPG,4,0.28302578516436516,0.2316,0.11540459320983294,0.25265891929914813,25.166666666666668,12.181231965813272,24.186528497409327,4.304645625255633,34.90486029003847,2,2,0,1,2,5
T0 Gul 2.1 (1-8).JPG,6,0.34547692307692307,0.2807,0.141878419202299,0.274844567574286,26.145707160669755,9.235150045126387,19.177413608835057,8.997360338521746,32.42485459729665,3,5,0,2,2,5
T0 Gul 2.1 (1-8).JPG,7,0.47480137554844065,0.4004,0.19686816716467173,0.3029126061101259,23.484265734265733,10.015697079949922,20.687734199350487,5.343313923449906,31.29685420901889,3,5,0,2,3,4
T0 Gul 2.1 (1-8).JPG,8,0.4357096141268803,0.3331,0.16840592006033184,0.2910208387681764,22.236565595917142,7.871292521898859,20.251576103272292,8.367733686283792,30.076422396424665,3,5,0,2,3,4
T0 Gul 2.2 (9-16).JPG,1,0.4527177959791511,0.3648,0.18462793740082808,0.300455056316227,24.85827850877193,11.205757668770318,19.21299342105263,4.582201937067154,31.41771994618776,3,5,0,2,3,5
T0 Gul 2.2 (9-16).JPG,2,0.4099431474537317,0.3389,0.17391768394369955,0.29518320351024385,24.04809678371201,9.563737826344463,19.06845677190912,4.204780191848757,30.690666375641744,3,5,0,2,3,4
T0 Gul 2.2 (9-16).JPG,3,0.4046483180428135,0.3308,0.16398101846125454,0.2877981028801297,24.130894800483677,10.402136828070493,19.685610640870618,5.158697796773498,31.14198693365548,3,5,0,2,3,4
T0 Gul 2.2 (9-16).JPG,4,0.32578569660975004,0.2633,0.1282882882882883,0.26088090601249814,23.779339156855297,9.478317873114957,20.283706798328904,7.171415147849554,31.255171287601765,2,5,0,2,2,4
