label,h,s,v
1,11,82,225
1,15,78,244
1,89,130,172
1,29,119,172
1,87,116,191
0,21,99,253
1,6,101,205
1,4,88,214
1,11,80,241
0,22,119,244
0,0,0,255
1,177,129,175
1,6,96,210
0,0,0,255
0,0,0,255
0,17,61,254
0,17,71,253
0,0,0,255
0,17,99,246
1,16,101,211
0,18,85,250
1,3,84,232
0,18,65,254
0,15,102,243
0,24,112,168
0,19,66,254
0,19,79,253
0,22,58,254
1,13,77,250
1,19,87,253
0,13,42,147
1,168,109,220
0,22,64,254
0,23,101,253
1,2,104,223
0,21,90,252
0,21,88,243
1,3,93,212
0,17,80,249
0,18,66,158
0,0,0,255
0,0,0,255
1,12,71,252
1,14,62,253
1,174,133,199
0,23,113,229
0,21,71,254
0,178,128,186
0,25,122,226
1,174,142,178
0,20,83,254
1,12,58,254
0,22,71,174
0,0,0,255
1,17,61,254
1,15,101,245
0,23,126,241
0,20,74,254
0,0,0,255
1,10,113,205
0,18,104,225
1,10,106,228
0,19,93,247
1,47,135,192
0,24,112,239
1,13,107,218
1,9,118,204
0,0,0,255
0,0,0,255
1,178,124,175
0,27,66,254
0,24,84,253
1,148,113,193
1,23,130,183
0,27,104,226
0,22,81,253
1,14,85,244
1,30,109,195
0,0,0,255
0,26,100,252
0,30,135,228
1,16,107,218
0,22,93,244
1,8,100,204
0,27,81,254
1,70,129,208
0,25,141,197
1,175,150,180
1,179,141,180
0,23,141,186
0,32,93,240
0,17,138,217
1,11,109,238
0,18,124,206
1,178,172,162
0,18,115,210
1,14,115,227
1,11,120,215
0,29,141,171
1,12,105,247
1,6,80,233
0,19,89,249
1,178,147,185
1,13,75,251
1,13,68,252
1,177,154,197
1,177,135,200
1,178,125,205
1,12,79,250
0,17,102,228
0,15,122,122
1,178,108,192
0,15,82,246
0,14,81,248
0,22,82,217
0,0,0,255
0,20,53,254
0,0,0,255
1,177,118,183
0,0,0,255
1,15,65,253
1,13,69,248
0,18,86,245
0,13,87,47
1,66,90,213
0,17,63,254
0,25,83,248
0,22,74,254
0,21,93,247
0,0,0,255
0,27,102,174
1,12,96,248
1,177,115,192
0,24,127,183
1,38,113,200
1,15,90,247
1,169,131,184
0,0,0,255
0,20,80,223
0,20,115,222
1,15,64,253
1,13,79,251
1,12,74,250
1,176,143,198
0,20,124,226
0,0,0,255
0,10,56,184
0,21,88,228
0,25,66,254
0,26,73,253
0,22,93,247
1,15,86,221
0,0,0,255
0,14,95,202
1,16,89,239
0,14,83,122
0,23,63,254
0,12,128,191
1,15,61,254
0,18,90,247
1,24,118,222
0,0,0,255
1,16,71,254
0,18,124,192
0,17,86,254
1,91,138,214
1,177,138,213
1,177,168,204
0,14,56,254
0,17,73,254
0,0,0,255
1,15,88,252
0,18,127,188
1,87,119,221
1,177,174,196
0,22,118,152
1,178,117,195
0,19,97,247
1,13,73,253
0,29,103,192
0,0,0,255
0,19,100,228
1,16,70,254
0,0,0,255
1,16,67,254
0,15,99,151
0,15,41,209
1,14,89,245
1,177,123,177
0,16,106,226
1,147,147,184
0,7,26,176
0,5,24,210
0,22,116,238
1,12,71,254
1,4,143,202
1,125,162,191
0,18,112,229
1,0,118,226
1,11,87,253
1,5,109,243
1,116,145,207
1,12,72,254
0,18,109,163
1,9,89,253
1,5,103,220
1,8,83,249
1,11,86,246
0,6,21,248
0,25,95,190
1,25,109,210
1,13,104,209
1,8,106,208
1,13,102,239
1,4,91,225
0,11,60,253
1,10,72,248
1,4,101,221
1,3,107,211
1,5,88,247
0,8,44,193
1,10,117,239
1,12,89,253
0,0,0,255
0,0,0,255
0,0,0,255
1,10,120,217
0,5,38,183
1,5,125,218
1,7,131,215
1,0,143,126
0,14,129,220
1,10,143,208
1,3,135,210
0,21,92,53
1,6,100,217
1,24,91,181
0,21,103,250
1,1,112,193
0,21,98,167
0,20,112,211
0,22,96,253
0,2,6,252
0,20,109,207
0,22,117,234
0,0,0,255
0,21,99,240
0,21,108,243
0,20,109,230
1,15,99,232
0,23,114,230
1,6,106,239
0,25,90,254
0,19,99,246
0,21,88,253
0,24,97,234
0,22,117,228
1,10,115,251
0,20,92,199
0,0,0,255
0,0,0,255
1,11,108,246
1,4,101,217
0,0,0,255
0,18,105,248
